Seria1 - X;Seria1 - Y;
311.49;953
311.53;743
311.58;753
311.62;805
311.66;1066
311.71;694
311.75;851
311.79;784
311.84;1012
311.88;817
311.93;765
311.97;955
312.01;832
312.06;734
312.1;846
312.14;924
312.19;1221
312.23;832
312.28;933
312.32;1145
312.36;1030
312.41;860
312.45;1016
312.49;730
312.54;926
312.58;851
312.63;718
312.67;828
312.71;909
312.76;781
312.8;781
312.84;873
312.89;1034
312.93;736
312.98;814
313.02;916
313.06;926
313.11;803
313.15;796
313.19;917
313.24;918
313.28;995
313.32;817
313.37;870
313.41;922
313.46;827
313.5;721
313.54;1052
313.59;987
313.63;737
313.67;993
313.72;820
313.76;862
313.81;659
313.85;964
313.89;898
313.94;744
313.98;929
314.02;785
314.07;1018
314.11;903
314.16;776
314.2;874
314.24;772
314.29;951
314.33;859
314.37;862
314.42;861
314.46;896
314.5;809
314.55;771
314.59;819
314.64;694
314.68;900
314.72;1020
314.77;885
314.81;931
314.85;787
314.9;924
314.94;818
314.99;916
315.03;909
315.07;893
315.12;826
315.16;571
315.2;920
315.25;988
315.29;1174
315.33;801
315.38;701
315.42;636
315.47;1016
315.51;769
315.55;808
315.6;748
315.64;800
315.68;836
315.73;760
315.77;792
315.82;768
315.86;1042
315.9;882
315.95;884
315.99;842
316.03;828
316.08;821
316.12;849
316.16;842
316.21;805
316.25;798
316.3;986
316.34;858
316.38;925
316.43;934
316.47;855
316.51;1003
316.56;895
316.6;706
316.64;823
316.69;967
316.73;831
316.78;851
316.82;881
316.86;849
316.91;959
316.95;839
316.99;913
317.04;814
317.08;972
317.12;617
317.17;759
317.21;1040
317.26;879
317.3;820
317.34;952
317.39;663
317.43;734
317.47;861
317.52;794
317.56;698
317.6;991
317.65;891
317.69;814
317.74;859
317.78;849
317.82;845
317.87;711
317.91;629
317.95;787
31;810
318.04;752
318.08;867
318.13;890
318.17;671
318.22;753
318.26;788
318.3;923
318.35;767
318.39;789
318.43;846
318.48;758
318.52;595
318.56;865
318.61;958
318.65;943
318.7;839
318.74;913
318.78;880
318.83;919
318.87;755
318.91;521
318.96;914
31;946
319.04;707
319.09;879
319.13;876
319.17;661
319.22;853
319.26;603
319.31;793
319.35;882
319.39;862
319.44;854
319.48;809
319.52;744
319.57;799
319.61;963
319.65;969
319.7;968
319.74;828
319.79;751
319.83;1077
319.87;838
319.92;1018
319.96;826
32;877
320.05;1026
320.09;849
320.13;781
320.18;817
320.22;1120
320.26;815
320.31;808
320.35;1006
320.4;988
320.44;856
320.48;761
320.53;678
320.57;841
320.61;786
320.66;852
320.7;1112
320.74;961
320.79;686
320.83;881
320.87;1126
320.92;888
320.96;844
321.01;763
321.05;792
321.09;763
321.14;680
321.18;758
321.22;1053
321.27;742
321.31;877
321.35;788
321.4;687
321.44;956
321.48;893
321.53;654
321.57;648
321.61;773
321.66;674
321.7;756
321.75;849
321.79;750
321.83;804
321.88;713
321.92;906
321.96;914
322.01;795
322.05;840
322.09;1000
322.14;1037
322.18;913
322.22;829
322.27;896
322.31;902
322.36;770
322.4;746
322.44;790
322.49;822
322.53;863
322.57;747
322.62;695
322.66;1107
322.7;727
322.75;739
322.79;763
322.83;827
322.88;775
322.92;861
322.96;993
323.01;681
323.05;909
323.1;885
323.14;830
323.18;898
323.23;710
323.27;672
323.31;728
323.36;877
323.4;763
323.44;963
323.49;1218
323.53;802
323.57;882
323.62;803
323.66;827
323.7;759
323.75;715
323.79;859
323.83;811
323.88;625
323.92;833
323.97;721
324.01;779
324.05;855
324.1;952
324.14;768
324.18;752
324.23;717
324.27;633
324.31;940
324.36;784
324.4;832
324.44;892
324.49;750
324.53;938
324.57;862
324.62;618
324.66;846
324.7;831
324.75;991
324.79;715
324.84;677
324.88;841
324.92;993
324.97;709
325.01;869
325.05;722
325.1;856
325.14;880
325.18;810
325.23;838
325.27;1011
325.31;850
325.36;694
325.4;1015
325.44;769
